outlet,video_id,author,text,likes,published_at,reply_count,source,text_clean,score_positive,score_negative,score_neutral,score_compound,sentiment_label
BBC,nK7-DW4oG58,@Doyoubeyouanyday,The same thing is happening to Senator Gloria Orwoba in Kenya. She has been suspended from the Senate for over a year for calling out a powerful and notorious Senate Clerk for sexual harassment. Why is sex being normalized as a currency in political circles and women who stand up against it shamed and cast out?,480,2025-03-20T14:42:24Z,30,YouTube,The same thing is happening to Senator Gloria Orwoba in Kenya. She has been suspended from the Senate for over a year for calling out a powerful and notorious Senate Clerk for sexual harassment. Why is sex being normalized as a currency in political circles and women who stand up against it shamed and cast out?,0.042,0.196,0.762,-0.8834,Negative
BBC,nK7-DW4oG58,@sheilaalice811,Natasha my heart goes out to you. May everything they're doing to you turn out in your favour in Jesus name. Love from Kenya❤.,20,2025-03-26T10:56:39Z,0,YouTube,Natasha my heart goes out to you. May everything they're doing to you turn out in your favour in Jesus name. Love from Kenya.,0.35,0.0,0.65,0.9062,Positive
BBC,nK7-DW4oG58,@wisdomladapo,"She's a Senator, Give her her title!!!",9,2025-03-26T23:41:49Z,0,YouTube,"She's a Senator, Give her her title!!!",0.0,0.0,1.0,0.0,Neutral
BBC,nK7-DW4oG58,@solabolaji5364,Stay strong! The World stands with you Senator Natasha.,14,2025-03-26T15:43:40Z,0,YouTube,Stay strong! The World stands with you Senator Natasha.,0.31,0.0,0.69,0.5562,Positive
BBC,nK7-DW4oG58,@kawsuceesay3703,I'm so proud of you. No woman  has  to go through this,13,2025-03-25T15:54:45Z,0,YouTube,I'm so proud of you. No woman has to go through this,0.218,0.141,0.641,0.2944,Positive
BBC,nK7-DW4oG58,@ndidiansah,The year of exposure! It’s on!,8,2025-03-24T15:16:24Z,0,YouTube,The year of exposure! Its on!,0.0,0.0,1.0,0.0,Neutral
BBC,nK7-DW4oG58,@deesick_,Very brave woman,498,2025-03-20T16:03:05Z,26,YouTube,Very brave woman,0.649,0.0,0.351,0.5709,Positive
BBC,nK7-DW4oG58,@EmmanuelIdogho,"This allegation should not be swept under the carpet, it's a crime against mothers, wives and daughters.",5,2025-03-24T17:57:07Z,0,YouTube,"This allegation should not be swept under the carpet, it's a crime against mothers, wives and daughters.",0.0,0.179,0.821,-0.5423,Negative
BBC,nK7-DW4oG58,@ayishetuomoragbon6494,Senator Natasha. You are a beacon of hope to Afican women. I admire yoir courage.,245,2025-03-20T21:51:07Z,12,YouTube,Senator Natasha. You are a beacon of hope to Afican women. I admire yoir courage.,0.434,0.0,0.566,0.8481,Positive
BBC,nK7-DW4oG58,@Sive_Nyanda,We stand with you Senator Akpoti 🥹👏🏾❤️ what a powerful woman. 🇿🇦,9,2025-03-27T11:09:39Z,1,YouTube,We stand with you Senator Akpoti what a powerful woman.,0.237,0.0,0.763,0.4215,Positive
BBC,nK7-DW4oG58,@Elroi-Film-Studio,She’s really brave 😊,50,2025-03-22T19:44:49Z,4,YouTube,Shes really brave,0.649,0.0,0.351,0.5709,Positive
BBC,nK7-DW4oG58,@TheWitnessInstitute,We all know its exactly as she said. God bless you for having the courage to stand your ground.,2,2025-04-05T21:32:13Z,0,YouTube,We all know its exactly as she said. God bless you for having the courage to stand your ground.,0.336,0.0,0.664,0.7964,Positive
BBC,nK7-DW4oG58,@yasir889,"Unfortunately, with things like this, she will have to provide concrete proof. I don't think she would recklessly invite the wrath of powerful men her if this didn't happen, but not much can be done with her words",24,2025-03-22T18:07:34Z,10,YouTube,"Unfortunately, with things like this, she will have to provide concrete proof. I don't think she would recklessly invite the wrath of powerful men her if this didn't happen, but not much can be done with her words",0.122,0.042,0.836,0.3071,Positive
BBC,nK7-DW4oG58,@azodononso4333,I just love the comments am seeing this woman is really passing through a lot right now we will surely support her,1,2025-04-09T08:22:44Z,0,YouTube,I just love the comments am seeing this woman is really passing through a lot right now we will surely support her,0.34,0.0,0.66,0.8689,Positive
BBC,nK7-DW4oG58,@digital-fae,"If you're a Nigerian woman that's in the work force working under a male boss like this then you know exactly what she's talking about. Both men and women brush such statements off as a joke but it's inappropriate and very wrong. Then again it's Nigeria, most people are lawless and have no respect for anyone they deem below them.",44,2025-03-23T12:10:54Z,9,YouTube,"If you're a Nigerian woman that's in the work force working under a male boss like this then you know exactly what she's talking about. Both men and women brush such statements off as a joke but it's inappropriate and very wrong. Then again it's Nigeria, most people are lawless and have no respect for anyone they deem below them.",0.05,0.118,0.832,-0.7629,Negative
BBC,nK7-DW4oG58,@TemsD,"🔥🙌🏾 A resilient, strong & powerful Queen. May God protect you through this journey🙏🏽",1,2025-04-26T17:37:41Z,0,YouTube,"A resilient, strong powerful Queen. May God protect you through this journey",0.574,0.0,0.426,0.8689,Positive
BBC,nK7-DW4oG58,@uwaifoeenna,Supporting this brave woman all the way,48,2025-03-22T00:33:58Z,0,YouTube,Supporting this brave woman all the way,0.558,0.0,0.442,0.743,Positive
BBC,nK7-DW4oG58,@McArutha,"This has been run right from time. 
Only cultists have mind to treat other humans inhumanly. They are brute!",2,2025-03-28T05:37:27Z,0,YouTube,This has been run right from time. Only cultists have mind to treat other humans inhumanly. They are brute!,0.143,0.0,0.857,0.4574,Positive
BBC,nK7-DW4oG58,@yhiiswho,"If her suspension was for gross misconduct, why wasn't it done before she filed a petition on sexual harassment? Why did the suspension occur AFTER she filed.",46,2025-03-22T10:52:09Z,8,YouTube,"If her suspension was for gross misconduct, why wasn't it done before she filed a petition on sexual harassment? Why did the suspension occur AFTER she filed.",0.0,0.209,0.791,-0.765,Negative
BBC,nK7-DW4oG58,@Don-G-7,"Wondering what her husband was thinking when another man held his wife's hands for two seconds, if not just for a hand shake 🤝 how could he allow that rubbish",77,2025-03-20T20:55:00Z,26,YouTube,"Wondering what her husband was thinking when another man held his wife's hands for two seconds, if not just for a hand shake how could he allow that rubbish",0.155,0.052,0.793,0.5267,Positive
BBC,nK7-DW4oG58,@davidsoniroko8272,"These are some of the things that make people take arms resulting in civil unrest. When you are in a society where one cannot have a fair hearing, where there is real or perceived injustice and it appears one is hopeless against the 'powers that be'. Hmmm...I can only sigh. May God help us and deal with all wicked, heartless and devilish people in our society.",1,2025-03-25T13:38:31Z,0,YouTube,"These are some of the things that make people take arms resulting in civil unrest. When you are in a society where one cannot have a fair hearing, where there is real or perceived injustice and it appears one is hopeless against the 'powers that be'. Hmmm...I can only sigh. May God help us and deal with all wicked, heartless and devilish people in our society.",0.073,0.226,0.701,-0.9255,Negative
BBC,nK7-DW4oG58,@Iana-c9t,Eish she did not tell her hubby 🥹,2,2025-03-22T18:29:53Z,0,YouTube,Eish she did not tell her hubby,0.0,0.0,1.0,0.0,Neutral
BBC,nK7-DW4oG58,@ayanali3328,"Well done for speaking out, you are opening doors for other women in power not to stand for this stupid men harassing women❤",2,2025-03-26T20:53:19Z,0,YouTube,"Well done for speaking out, you are opening doors for other women in power not to stand for this stupid men harassing women",0.071,0.253,0.676,-0.7506,Negative
BBC,nK7-DW4oG58,@ayanfevese,"This comment section makes me sorrowful for the future of this nation. 
I'd encourage you all to cross examine how you treat women in this society. A woman talks, she's shamed and asked to bring ""evidence"". She doesn’t talk immediately but holds it in and tries to move on, ""why is it just now she's talking? Why didn’t she tell her husband? Hehh she's lying oh!"" 
Check your own reactions in various cases of abuse or harassment, notice how no matter what, the woman is blamed, one way or another. 
I want you to see how women can’t win and how we're consistently held accountable for actions that are not our own. Sen Natasha had nothing to gain coming out and everything to lose, as has been made clear by the fallout of this.
I want you to see that you don't need a victim to be 'perfect' in order to stand for justice in the case brought forward. You're not perfect, but does that mean as a human being you don’t deserve justice?
And demanding 'evidence' from a victim is just darned ridiculous. If you truly wanted evidence, you would not be holding the victim accountable, you would be holding the institution she complained to, the system that shut down on arrival any hope of an investigation being done that would bring out the ""evidence"" you so desire, accountable and not the victim. 

Sometimes, some behaviours i see in Nigeria bring me much shame.

Nigeria, open your eyes. Wake up from your slumber! Don’t let a broken system get the best of you.",59,2025-03-22T11:24:08Z,11,YouTube,"This comment section makes me sorrowful for the future of this nation. I'd encourage you all to cross examine how you treat women in this society. A woman talks, she's shamed and asked to bring evidence. She doesnt talk immediately but holds it in and tries to move on, why is it just now she's talking? Why didnt she tell her husband? Hehh she's lying oh! Check your own reactions in various cases of abuse or harassment, notice how no matter what, the woman is blamed, one way or another. I want you to see how women cant win and how we're consistently held accountable for actions that are not our own. Sen Natasha had nothing to gain coming out and everything to lose, as has been made clear by the fallout of this.I want you to see that you don't need a victim to be 'perfect' in order to stand for justice in the case brought forward. You're not perfect, but does that mean as a human being you dont deserve justice?And demanding 'evidence' from a victim is just darned ridiculous. If you truly wanted evidence, you would not be holding the victim accountable, you would be holding the institution she complained to, the system that shut down on arrival any hope of an investigation being done that would bring out the evidence you so desire, accountable and not the victim. Sometimes, some behaviours i see in Nigeria bring me much shame.Nigeria, open your eyes. Wake up from your slumber! Dont let a broken system get the best of you.",0.145,0.158,0.697,-0.7427,Negative
BBC,nK7-DW4oG58,@christinanwabugo,Natasha!! we stand with you!!,1,2025-04-08T18:26:53Z,0,YouTube,Natasha!! we stand with you!!,0.0,0.0,1.0,0.0,Neutral
BBC,nK7-DW4oG58,@Possibilities201able,Expose them all,16,2025-03-22T11:49:34Z,0,YouTube,Expose them all,0.0,0.444,0.556,-0.1531,Negative
BBC,nK7-DW4oG58,@StarInc7,"Put to a vote? That whilst they were saying NO ,he ruled YES",1,2025-03-27T18:53:08Z,0,YouTube,"Put to a vote? That whilst they were saying NO ,he ruled YES",0.198,0.169,0.633,0.128,Positive
BBC,nK7-DW4oG58,@dreday14,"The audacity for Apkabio to do that while her husband is watching from behind without maybe knowing what's going on tells how corrupt and useles our criminaly minded politicians has become.


Nigerians must stand up now and stop this criminal interprise of Wike and Jagaban incompetence before it will deeply consume all of us.",106,2025-03-20T20:14:19Z,7,YouTube,The audacity for Apkabio to do that while her husband is watching from behind without maybe knowing what's going on tells how corrupt and useles our criminaly minded politicians has become.Nigerians must stand up now and stop this criminal interprise of Wike and Jagaban incompetence before it will deeply consume all of us.,0.0,0.16,0.84,-0.8591,Negative
BBC,nK7-DW4oG58,@TheMsChrisie,In this day and century we still have such unspeakable acts. What a shame. Only happens in Africa,0,2025-04-09T05:08:47Z,0,YouTube,In this day and century we still have such unspeakable acts. What a shame. Only happens in Africa,0.0,0.154,0.846,-0.4767,Negative
BBC,nK7-DW4oG58,@ComedianXTREME,God help our nation.,29,2025-03-21T05:25:17Z,0,YouTube,God help our nation.,0.706,0.0,0.294,0.5859,Positive
BBC,nK7-DW4oG58,@nwosuedith8600,Disheartening 😢,0,2025-04-07T09:46:38Z,0,YouTube,Disheartening,0.0,1.0,0.0,-0.4215,Negative
BBC,nK7-DW4oG58,@tessygbashi9,"Stay Strong Ma, nothing is hidden under the Sun❤❤❤",15,2025-03-23T10:04:27Z,0,YouTube,"Stay Strong Ma, nothing is hidden under the Sun",0.292,0.0,0.708,0.5106,Positive
BBC,nK7-DW4oG58,@UniquealinaandMama,This same thing happened to me,0,2025-04-03T22:58:25Z,0,YouTube,This same thing happened to me,0.0,0.0,1.0,0.0,Neutral
BBC,nK7-DW4oG58,@Silva-nc3cu,Am I d only 1 seeing manipulation ?? This is crazy,14,2025-03-20T18:20:31Z,1,YouTube,Am I d only 1 seeing manipulation ?? This is crazy,0.0,0.355,0.645,-0.6072,Negative
BBC,nK7-DW4oG58,@OooOooo-h3q,I feel your pain.,0,2025-03-23T20:26:06Z,0,YouTube,I feel your pain.,0.0,0.524,0.476,-0.5106,Negative
BBC,nK7-DW4oG58,@akincan6888,"Only God knows what is hidden, but we should fear the day we are going to return to our God for accountability.
Almighty God is the witness",72,2025-03-20T17:18:14Z,1,YouTube,"Only God knows what is hidden, but we should fear the day we are going to return to our God for accountability.Almighty God is the witness",0.207,0.13,0.664,0.1406,Positive
BBC,nK7-DW4oG58,@carefreedelight2355,Now there's a surprise !,0,2025-04-23T10:03:27Z,0,YouTube,Now there's a surprise !,0.374,0.0,0.626,0.3382,Positive
BBC,nK7-DW4oG58,@thepillaz,God will give you justice senator Natasha in Jesus name Amen. How he will do it we don't know but He will. Nigerian leadership is horrible at all levels,27,2025-03-22T07:13:10Z,0,YouTube,God will give you justice senator Natasha in Jesus name Amen. How he will do it we don't know but He will. Nigerian leadership is horrible at all levels,0.109,0.138,0.754,-0.4588,Negative
BBC,nK7-DW4oG58,@PrinceAmadi-qo8dl,"Good evening madam, you are a role model and a virtures woman. God bless you and family and will always protect the pace at which you have setten. Fear not, the whole world is watching and we singing praise as regards to this. We are by your side.",0,2025-04-05T20:16:04Z,0,YouTube,"Good evening madam, you are a role model and a virtures woman. God bless you and family and will always protect the pace at which you have setten. Fear not, the whole world is watching and we singing praise as regards to this. We are by your side.",0.236,0.054,0.709,0.8689,Positive
BBC,nK7-DW4oG58,@ibebonaventure1227,"so sorry Mrs Natasha, you are indeed brave, your voice must be heard, you are fighting a good fight.",84,2025-03-20T15:31:31Z,10,YouTube,"so sorry Mrs Natasha, you are indeed brave, your voice must be heard, you are fighting a good fight.",0.233,0.248,0.519,0.1548,Positive
BBC,nK7-DW4oG58,@savvarkmedia,Shes lied about this before,12,2025-03-20T17:32:23Z,1,YouTube,Shes lied about this before,0.0,0.394,0.606,-0.3818,Negative
BBC,nK7-DW4oG58,@EyoJames-ms3zf,You didn't know!,0,2025-04-07T17:54:00Z,0,YouTube,You didn't know!,0.0,0.0,1.0,0.0,Neutral
BBC,nK7-DW4oG58,@ameliaamemate8745,"Those asking for evidence, in fact, she had a body camera on her every time she was harassed 👏🏾👏🏾👏🏾 This said, thank you so much for standing up for yourself. The future is more positive for us, women.",76,2025-03-20T14:44:36Z,8,YouTube,"Those asking for evidence, in fact, she had a body camera on her every time she was harassed This said, thank you so much for standing up for yourself. The future is more positive for us, women.",0.146,0.08,0.775,0.4391,Positive
BBC,nK7-DW4oG58,@StartNowNow,"Is good You are speaking even though it looks like everyone is against you.
Speak and leave them.",1,2025-03-26T06:50:45Z,0,YouTube,Is good You are speaking even though it looks like everyone is against you.Speak and leave them.,0.262,0.058,0.68,0.6369,Positive
BBC,nK7-DW4oG58,@jianoddon2510,shades of tears season 4,26,2025-03-21T06:35:26Z,2,YouTube,shades of tears season 4,0.0,0.322,0.678,-0.2263,Negative
BBC,nK7-DW4oG58,@peterchinonso8903,"God bless you, great Natasha, we will continue to pray for you ❤",0,2025-03-27T14:48:41Z,0,YouTube,"God bless you, great Natasha, we will continue to pray for you",0.585,0.0,0.415,0.8834,Positive
BBC,nK7-DW4oG58,@oseokojie8521,"I'm a man, and thank you for being bold,May God be with you for d exposition! All active citizens of Nigeria are with you no matter d evil machinations they're formulating against you! Nigerians are all aware that d senate is more of a Cult as runned by this regime!",5,2025-03-24T04:08:30Z,0,YouTube,"I'm a man, and thank you for being bold,May God be with you for d exposition! All active citizens of Nigeria are with you no matter d evil machinations they're formulating against you! Nigerians are all aware that d senate is more of a Cult as runned by this regime!",0.139,0.093,0.767,0.4023,Positive
BBC,nK7-DW4oG58,@lodestarlyon9114,Cool Gods grace 🙏🙏🙏,0,2025-03-31T08:40:24Z,0,YouTube,Cool Gods grace,0.836,0.0,0.164,0.6249,Positive
BBC,nK7-DW4oG58,@impishishere,The fact that the senate president has a history of such disgusting behavior and is still going about his day is unbelievable. A whole senate. Oh Nigeria...,47,2025-03-20T15:28:28Z,3,YouTube,The fact that the senate president has a history of such disgusting behavior and is still going about his day is unbelievable. A whole senate. Oh Nigeria...,0.06,0.113,0.828,-0.3818,Negative
BBC,nK7-DW4oG58,@kadidiglobal4799,Since your embracing our dear country so definitely you most not comeback to the senate,6,2025-03-21T14:17:46Z,1,YouTube,Since your embracing our dear country so definitely you most not comeback to the senate,0.301,0.0,0.699,0.6801,Positive
BBC,nK7-DW4oG58,@Daniel-q7c4z,We know what you are!,2,2025-03-20T19:54:20Z,0,YouTube,We know what you are!,0.0,0.0,1.0,0.0,Neutral
BBC,nK7-DW4oG58,@AbrahamTolu21,"Just when I thought her case had been swept under the rug, this video pops on my feed. I love you senator Natasha. Thank you for being a woman the younger generation can look up to. I pray God protects you.",30,2025-03-20T18:40:44Z,0,YouTube,"Just when I thought her case had been swept under the rug, this video pops on my feed. I love you senator Natasha. Thank you for being a woman the younger generation can look up to. I pray God protects you.",0.271,0.0,0.729,0.9081,Positive
BBC,nK7-DW4oG58,@AnBeulicious,Big thanks Natasha for speaking up. I can't imagine how many women have been oppressed by men and even other women in the Senate and HoR because they were too scared to speak out. Anyone who stands for good is subdued. Remember the HoR member who threatened to take out an Cab driver not too long ago because the driver refused to be disrespected?,1,2025-03-24T07:10:23Z,0,YouTube,Big thanks Natasha for speaking up. I can't imagine how many women have been oppressed by men and even other women in the Senate and HoR because they were too scared to speak out. Anyone who stands for good is subdued. Remember the HoR member who threatened to take out an Cab driver not too long ago because the driver refused to be disrespected?,0.075,0.184,0.74,-0.8126,Negative
BBC,nK7-DW4oG58,@NanaIsah-hy9wr,😅😅😅😅 Natasha baby,21,2025-03-20T18:49:05Z,1,YouTube,Natasha baby,0.0,0.0,1.0,0.0,Neutral
BBC,nK7-DW4oG58,@lawrencelazarus6634,Shameless woman,8,2025-03-20T22:05:18Z,4,YouTube,Shameless woman,0.0,0.706,0.294,-0.34,Negative
BBC,nK7-DW4oG58,@TamarautariMasa,U no talk since nah now u dey talk abeg go sit down,12,2025-03-20T21:36:53Z,3,YouTube,U no talk since nah now u dey talk abeg go sit down,0.0,0.247,0.753,-0.3818,Negative
BBC,nK7-DW4oG58,@MrOliveroky1,"We love you, Senator Natasha. You are the kind that Nigeria needs.",0,2025-04-07T13:58:52Z,0,YouTube,"We love you, Senator Natasha. You are the kind that Nigeria needs.",0.432,0.0,0.568,0.8225,Positive
BBC,nK7-DW4oG58,@Unheard_tillnow,This is one of the major reasons why Nigeria is so messed up right now.,26,2025-03-20T23:36:10Z,0,YouTube,This is one of the major reasons why Nigeria is so messed up right now.,0.0,0.182,0.818,-0.4795,Negative
BBC,nK7-DW4oG58,@angelmesode738,"God almighty in his infinite mercy will vindicate you, stay strong",1,2025-03-27T02:07:39Z,0,YouTube,"God almighty in his infinite mercy will vindicate you, stay strong",0.568,0.0,0.432,0.802,Positive
BBC,nK7-DW4oG58,@Bella36o,I weep for the women in Nigeria. The insensitivity in this comment section is heartbreaking.,44,2025-03-20T20:10:19Z,5,YouTube,I weep for the women in Nigeria. The insensitivity in this comment section is heartbreaking.,0.0,0.442,0.558,-0.8591,Negative
BBC,nK7-DW4oG58,@imran8161,"Not like, it is",0,2025-03-29T22:18:46Z,0,YouTube,"Not like, it is",0.0,0.413,0.587,-0.2755,Negative
BBC,nK7-DW4oG58,@umbawuike,Nigeria is a de-mockery instead of a democracy!,37,2025-03-20T21:31:24Z,2,YouTube,Nigeria is a de-mockery instead of a democracy!,0.0,0.0,1.0,0.0,Neutral
BBC,nK7-DW4oG58,@charlescharles1504,According to them this is 2023 constitution actually before senators are used to fought each others in the house but since 2023 new constitution i didn't see any senators does that again except you.,21,2025-03-20T18:56:18Z,0,YouTube,According to them this is 2023 constitution actually before senators are used to fought each others in the house but since 2023 new constitution i didn't see any senators does that again except you.,0.0,0.048,0.952,-0.1655,Negative
BBC,nK7-DW4oG58,@hauwaIsyaku-p1r,Success all the way we are with you ma❤,0,2025-03-25T22:09:35Z,0,YouTube,Success all the way we are with you ma,0.316,0.0,0.684,0.5719,Positive
BBC,nK7-DW4oG58,@akaibs,I believe her but she needs evidence.,25,2025-03-20T18:33:04Z,14,YouTube,I believe her but she needs evidence.,0.0,0.0,1.0,0.0,Neutral
BBC,nK7-DW4oG58,@IriagbonseOsarenren,Justice for Senator Natasha Akpoti 👏,1,2025-03-26T16:15:52Z,0,YouTube,Justice for Senator Natasha Akpoti,0.459,0.0,0.541,0.5267,Positive
BBC,nK7-DW4oG58,@Nicholasrealestate0,Nah fake tears be this werey Natasha,17,2025-03-20T16:56:52Z,1,YouTube,Nah fake tears be this werey Natasha,0.0,0.615,0.385,-0.6597,Negative
BBC,nK7-DW4oG58,@tessyab1674,"Be strong  Natasha, you can do this, and Nigerians are behind you both in Africa abd and in diaspora . We love you. ❤",0,2025-04-03T10:57:50Z,0,YouTube,"Be strong Natasha, you can do this, and Nigerians are behind you both in Africa abd and in diaspora . We love you.",0.263,0.0,0.737,0.8176,Positive
BBC,nK7-DW4oG58,@adstix,Rabble rouser!,13,2025-03-20T17:53:50Z,1,YouTube,Rabble rouser!,0.0,0.0,1.0,0.0,Neutral
BBC,nK7-DW4oG58,@Kingofthesettlement,"First time I'm listening to this story even though it has been all over the Nigerian media. For weeks this was the story making headlines coming from the Nigerian senate but I never for once bothered to open the story cuz there were more pertinent issues bedeviling our country. Other countries senate are pursuing meaningful agendas, Nigeria's senate and her media was awash with this trivial matter. What a shameful institution.",0,2025-04-10T13:28:19Z,0,YouTube,"First time I'm listening to this story even though it has been all over the Nigerian media. For weeks this was the story making headlines coming from the Nigerian senate but I never for once bothered to open the story cuz there were more pertinent issues bedeviling our country. Other countries senate are pursuing meaningful agendas, Nigeria's senate and her media was awash with this trivial matter. What a shameful institution.",0.084,0.07,0.846,0.0143,Neutral
BBC,nK7-DW4oG58,@godwinudoh8624,"mere propaganda...no evidence to backup claims, very weak proposition",7,2025-03-20T17:12:24Z,2,YouTube,"mere propaganda...no evidence to backup claims, very weak proposition",0.0,0.285,0.715,-0.4927,Negative
BBC,nK7-DW4oG58,@emohsonkind3109,How can I write a letter to BBC Africa,0,2025-04-07T19:47:05Z,0,YouTube,How can I write a letter to BBC Africa,0.0,0.0,1.0,0.0,Neutral
BBC,nK7-DW4oG58,@forwardmovement247,"They want to mess with someone that defeated a serving governor that wanted stop her from going to Senate. I'm very proud of you, Sen. NATASHA.",24,2025-03-20T17:17:19Z,1,YouTube,"They want to mess with someone that defeated a serving governor that wanted stop her from going to Senate. I'm very proud of you, Sen. NATASHA.",0.14,0.233,0.627,-0.4779,Negative
BBC,nK7-DW4oG58,@Eleaw8692,"Senator Natasha should go to court with proof of her harassment especially as she had not been found truthful in the same accusation of Reno.Please provide your receipts!If you can't go to court,make them available to the public.",56,2025-03-20T22:17:21Z,16,YouTube,"Senator Natasha should go to court with proof of her harassment especially as she had not been found truthful in the same accusation of Reno.Please provide your receipts!If you can't go to court,make them available to the public.",0.0,0.191,0.809,-0.8059,Negative
BBC,nK7-DW4oG58,@VictoriasTravelDiaries,Corruption has eaten deep.. smh Africa though ..,0,2025-03-22T10:51:25Z,0,YouTube,Corruption has eaten deep.. smh Africa though ..,0.0,0.247,0.753,-0.3182,Negative
BBC,nK7-DW4oG58,@onlyonebetty,"As mother's we teach our children especially the girls to report everything they hear or see to us immediately, you didn't even say anything to your husband for many months, you could have bring only the recent issue not the former 🤔",11,2025-03-21T08:09:31Z,3,YouTube,"As mother's we teach our children especially the girls to report everything they hear or see to us immediately, you didn't even say anything to your husband for many months, you could have bring only the recent issue not the former",0.0,0.0,1.0,0.0,Neutral
BBC,nK7-DW4oG58,@EbukaMichael-c9x,Na wa o.. this is a deep accusation oo..,0,2025-03-31T23:29:04Z,0,YouTube,Na wa o.. this is a deep accusation oo..,0.0,0.2,0.8,-0.25,Negative
BBC,nK7-DW4oG58,@chibuikeiheme4504,what is the agenda behind all this ?,21,2025-03-20T18:38:45Z,5,YouTube,what is the agenda behind all this ?,0.0,0.0,1.0,0.0,Neutral
BBC,nK7-DW4oG58,@Everything_asmr342,"When we think we've gone past this nonsense,  then boom 💥,  on a national level .hmm",0,2025-03-22T06:18:33Z,0,YouTube,"When we think we've gone past this nonsense, then boom , on a national level .hmm",0.0,0.172,0.828,-0.481,Negative
BBC,nK7-DW4oG58,@fitnesslivingway2273,Princess of the Nigerian senate vs the god of the senate. the institution wins!😄😄😄😄,20,2025-03-21T12:18:59Z,0,YouTube,Princess of the Nigerian senate vs the god of the senate. the institution wins!,0.337,0.0,0.663,0.7263,Positive
BBC,nK7-DW4oG58,@Gogetter795,We are behind you 100% madam Natasha!❤,0,2025-03-27T03:20:36Z,0,YouTube,We are behind you 100 madam Natasha!,0.0,0.0,1.0,0.0,Neutral
BBC,nK7-DW4oG58,@MukailaOlasheni,Bring out the proof and stop using emotions to gather support.,29,2025-03-20T17:11:47Z,1,YouTube,Bring out the proof and stop using emotions to gather support.,0.194,0.158,0.647,0.128,Positive
BBC,nK7-DW4oG58,@cherishimage1987,I feel so pained seeing my role model in tears 😢.,0,2025-04-03T12:47:59Z,0,YouTube,I feel so pained seeing my role model in tears .,0.0,0.38,0.62,-0.6722,Negative
