outlet,text,author,user_location,published_at,likes,reply_count,source
X_General,"@Kyoung__kyb @instablog9ja Baba these women in question had backings, mad one. Such backings are not easily seen in today’s women compared to their. Take the Senator Natasha Akpoti-Uduaghan vs Akpabio drama 😂",Cross Riverian 🧢,"Lagos, Nigeria",Wed May 13 16:03:08 +0000 2026,0,0,X_Apify
X_General,"@AIT_Online Hmm. Supposing it is senator Natasha Akpoti, by now they would have all gather to crucify her. Now that is Adams Oshomole who thinks as if the world revolve around him. The almighty Akpabio exercised no power.",Victor Terhemba,,Wed May 06 15:50:29 +0000 2026,0,0,X_Apify
X_General,"SEN. NATASHA SUBMITS NOMINATION FORM AT WADATA PLAZA

Sen. Natasha Akpoti Uduaghan , Senator Representing Kogi central in the Senate has submitted her nomination form at the National secretariat of the PDP ahead of screening. https://t.co/l41Whe9D1d",Iwhuruohna Project tv,,Tue May 12 05:33:32 +0000 2026,0,0,X_Apify
X_General,"Natasha Akpoti Udeaghan ran to Mrs Oluremi Tinubu when she heard of the calamity from the supreme court concerning Nyesom Wike faction. Many politicians will go into oblivion soonest, force retirement.We helped Natasha when Godswill Akpabio was after her, later she preferred Wike",Nnaemeka Edeh,,Fri May 08 19:51:36 +0000 2026,773,0,X_Apify
X_General,This when you have forward thinking people in the right places....Hon Natasha H. akpoti uduaghan..kudos to you and your team,CONCERNS CITIZENS🇳🇬🇳🇬🇱🇷🇬🇧🇨🇦🇨🇦🇳🇴,Earth,Fri May 08 20:37:45 +0000 2026,0,0,X_Apify
X_General,"@pdpnof @NatashaAkpoti No be lie, no be chor chor chor,  Distinguished Senator Natasha Akpoti, the PDP Queen has demonstrated capacity in leadership by showing workings. Her track record of doings will speak more during the 2027 general election.",Bassey Peter,,Mon May 11 19:28:38 +0000 2026,0,0,X_Apify
X_General,"ARE THERE NOT TOO MANY SENATORS IN THE 10TH NATIONAL ASSEMBLY. CAN WE REDUCE THE NUMBER TO?? :🇳🇬

HE:
. Mohammed Ali Ndume
. Henry Seriake Dickson
. Enyinnaya Abaribe
. Abdul Ahmed Ningi
. Natasha Akpoti Oduaghan
. Adams Oshiomole (recent) https://t.co/lsMqw2Iwl4",STreeT_Activist🇳🇬,,Fri May 08 10:58:12 +0000 2026,1,0,X_Apify
X_General,"‘We’ve started a movement of hope’ — Natasha Akpoti submits PDP nomination forms for Kogi senate race

Natasha Akpoti-Uduaghan, senator representing Kogi central, has submitted her Peoples Democratic Party (PDP) nomination forms ahead of the 2027 elections.

The lawmaker, accompanied by supporters and political associates, submitted her forms at the national secretariat of the PDP in Abuja on Monday.

Addressing her supporters after submitting the forms, Akpoti-Uduaghan thanked residents of Kogi central and PDP members for their continued support.

https://t.co/wGkCunqBqz",TheCable,Nigeria,Mon May 11 21:27:48 +0000 2026,15,0,X_Apify
X_General,"Natasha H Akpoti asked this about the  Yaya bello case on EFCC that;

If Economic and Financial Crimes Commission’s ₦33billion customer gets 75years imprisonment,... what will (Yaya bello) Kogi’s ₦200b customer get???Answer:
Let’s first find the value of ₦1 billion:
75 years ÷ ₦33 billion = 2.27 yrs per billion  Now multiply by ₦200 billion:
2.27 years × ₦200 billion = 454 years  I scored A3 in my WAEC’s Maths by the way.",YEMI ASHIMOLOWO,"New York, USA",Wed May 13 14:28:24 +0000 2026,0,0,X_Apify
X_General,"Kogi Central Open Space Internet Project Update 🚀

The Natasha Akpoti Uduaghan Foundation will commence the installation of digital infrastructure in 3 Local Government Areas next week: Ajaokuta, Okene and Okehi (first phase). 

These projects will provide:

• Outdoor Omnidirectional Access Points
• 500 Metre Radius Coverage (1km Diameter)
• 512 Concurrent Device Connections
• Up to 5.95 Gbps Throughput
• FREE Internet Access — 24 Hours, 7 Days a Week (Yearly subscription). 

Across Europe, the Middle East, the Americas and other regions of the world, free public WiFi access has become an essential tool for learning, business, communication and innovation.

We are humbled to drive this forward-thinking technology initiative in Nigeria thereby opening digital opportunities for our people and bridging connectivity gaps across Kogi Central.

The future is digital… and Kogi Central must not be left behind. 

Protect the equipments as they’ll serve everyone 

Senator Natasha H Akpoti Uduaghan 
Digitally Kogi Central 🇳🇬",𝐊𝐨𝐠𝐢𝐗𝐜𝐨𝐦𝐦𝐮𝐧𝐢𝐭𝐲,"Kogi, Nigeria",Fri May 08 20:01:39 +0000 2026,20,0,X_Apify
X_General,"Breaking News:

Senator Bukola Saraki dumps Wike set to join Accord Party while Samuel Anyanwu still selling fake forms at the Wadata Plaza. 

Sister Natasha Akpoti have also offered Yahaya Bello the senatorial seat on a Plata of Gold. 

2027 is getting more interesting 🤣🤣🤣. https://t.co/5tZvWpSKSR",𝕋𝕖𝕤𝕝𝕖𝕖𝕞🇳🇬🇺🇲,,Tue May 12 13:39:30 +0000 2026,1,0,X_Apify
X_General,"Yahaya Bello, Natasha Akpoti-Uduaghan, and the APC Senate race in Kogi Central are already stirring debate ahead of 2027 as Nigerians question whether ongoing EFCC corruption charges should affect Bello’s political ambition. https://t.co/s7rZ1HfE97",#AjibareTalks,"Lagos, Nigeria",Mon May 11 18:13:01 +0000 2026,0,0,X_Apify
X_General,"Senate are not yet done dealing with the presence of Natasha Akpoti, Aisha Yesufu wants to join.

They will do everything to make sure she doesn't come near the Senate, if not na fight everyday. https://t.co/XzVGneIHxF",The Happy Man,Nigeria,Fri May 08 12:35:09 +0000 2026,0,0,X_Apify
X_General,"The senator representing Kogi Central Senatorial District, Natasha Akpoti-Uduaghan, has officially submitted her Peoples Democratic Party senatorial nomination forms in Abuja, formally confirming her intention to seek re-election... https://t.co/pRp8Su26KD https://t.co/MHfeTCWYpJ",InMail News,,Tue May 12 03:47:38 +0000 2026,0,0,X_Apify
X_General,"Kwankwaso Says Northern Leaders Chose Obi As Most Capable Partner For 2027
https://t.co/GSUqPJCpuC

Natasha Akpoti-Uduaghan Submits PDP Forms, Seeks Re-Election To Kogi Senate Seat
https://t.co/uTl0Cn7ikx

Eight Aspirants Battle For ADC Governorship Ticket In Rivers State
https://t.co/6QtcM3atQj

Pakistan Let Iranian Warplanes Park On Its Airfields, US Officials Allege
https://t.co/tZ78j4w2se

Kwankwaso Reveals Daughter Lobbied Him To Work With Obi As Far Back As 2023
https://t.co/pFAkuOTTrV

US Accuses Pakistan Of Painting ‘Too Rosy’ A Picture Of Iran As Ceasefire Put On ‘Massive Life Support’
https://t.co/IGWk8anXNM

Osun Governor Deposes Apetumodu Monarch After US Tax Fraud And Money Laundering Conviction
https://t.co/LLg5DnsdU9

Trump And Xi To Meet Thursday In Beijing As Iran, Trade, Taiwan And Rare Earths Fill The Agenda
https://t.co/1NvTwmwoTe

Republican States Rush To Redraw Congressional Maps After Supreme Court Ruling In Race To Save House Majority
https://t.co/wT3d3sWxkZ

Tinubu Appoints Retired Major-General Fadewa As Special Adviser On Homeland Security
https://t.co/IjAqdorLym

Aspirants Face Exclusion As INEC Deadline For Party Registers Expires Today
https://t.co/2ceClRrvOj

APC Disqualifies 65 Fubara Loyalists From Rivers Assembly Primaries, Clears 33 Wike Allies
https://t.co/X1tgL8mgTI

Eko Bridge Closed For Emergency Repairs From Tuesday, Lagos Government Announces
https://t.co/9h4R7TvQJ9

📲 Follow Atlantic Digest for more updates:
🐦 Twitter (X): https://t.co/8sPTwXcD4s
📸 Instagram: https://t.co/unHf0ithlN
📘 Facebook: https://t.co/3T14lx1Di4",Atlanticdigest.com,"Atlanta , Georgia",Tue May 12 07:18:29 +0000 2026,1,0,X_Apify
X_General,@thecableng Lol. Adams Oshiomhole was among the loudest voices calling for the suspension of Natasha Akpoti-Uduaghan when she dared to challenge the Senate seating arrangement. So why is he now defying the “almighty” Godswill Akpabio?,Pappi 🦅,"New York, USA",Fri May 08 06:50:15 +0000 2026,8,0,X_Apify
X_General,@DAMIADENUGA Akpabio thinks Oshiomole is Natasha Akpoti.. better be careful.. Oshiomole is not your mate even at night..,Shadow,waiting for Elon Musk Mars,Fri May 08 08:25:37 +0000 2026,2,0,X_Apify
X_General,@dammiedammie35 The same Oshiomole who once admonished Senator Natasha Akpoti for not following Senate rules. How the tables turn.,Ṣeyi,"Abuja, Nigeria",Wed May 06 15:43:02 +0000 2026,0,0,X_Apify
X_General,I thought Senator Natasha H. Akpoti was a smart politician.,Osas ⛹,,Sun May 10 05:38:38 +0000 2026,0,0,X_Apify
X_General,"@CrownprinceCom2 @daniel_mikah Ireti worked against Natasha Akpoti. She did not stand in solidarity with her, instead turned against her.",Kendo,,Thu May 07 19:47:50 +0000 2026,2,0,X_Apify
X_General,"@TheNationNews Where was he when senator Natasha Akpoti was having it rough with same senators..... especially the Senate president.

U are talking now because it has gotten to you..... Tueh","AYENI TAIWO, MBA, TRCN","Port Harcourt, Nigeria",Thu May 07 17:16:11 +0000 2026,0,0,X_Apify
BBC,@annbonnys @loveforcaptnswn Sadly I think it’s the BBC war and peace adaptation… I wish it was Alessio and Clemence’s Andrei and Natasha that we could see,Chléa,"Beaucens, France",Sun May 10 16:34:47 +0000 2026,0,0,X_Apify
X_General,"@SadiqMaunde @Idris_Adam_ Can you reach out to Natasha Akpoti, she should decamp to NDC, today is the last day for registration.

We don't need Yaya Bello in the senate .. 

✌️",A Nigerian Citizen,Right Here,Sun May 10 05:26:31 +0000 2026,0,0,X_Apify
X_General,"@CatiaKyen Oh Natasha, my woman 
She gets werey for head shet definitely knows what she wants
Sen Natasha Akpoti is She ❤️",Josep.,"lagos , Nigeria",Wed May 06 08:41:44 +0000 2026,1,0,X_Apify
X_General,"We advised.
NATASHA H. AKPOTI be in close door discussion with #NDC stakeholders for Defections from #PDP to #NDC

That would be a massive move✅ and a Plus to our dear party https://t.co/2gQ9tvkfDJ",Nigeria Democratic Congress,Nigeria ,Sat May 09 18:01:44 +0000 2026,1,0,X_Apify
X_General,"@Peter4Nigeria @AishaYesufu Nice one, i dey you back, as you were to my sister Senator Natasha Akpoti U.

I wish you success, as I also wishes her same, no chains can ever hold you and her, not even a cage can hold you and her, and same goes to Aisha Yusufu. Amen",Barney Onotu,"Kaduna, Nigeria",Fri May 08 20:58:01 +0000 2026,0,0,X_Apify
X_General,"Natasha Akpoti-Uduaghan is in the PDP. Within just about two years in office, she delivered more visible impact to her people than many politicians do in an entire tenure.

From the provision of transformers, water projects and boreholes, to the distribution of tricycles, sewing and grinding machines, fertilizers, grains, business support initiatives, medical outreach programmes, youth skill acquisition, and even 5,000 digital learning devices for public schools, she has consistently demonstrated what people-focused representation should look like. 

This is why elections should not be reduced to blind party loyalty. The real question should always be: who has the competence, courage, compassion, capacity, and tested integrity to genuinely serve the people?

Vote competence. Vote proven capacity. Vote tested integrity.",Aikon,Nigeria,Fri May 08 15:16:13 +0000 2026,2,0,X_Apify
X_General,"@AishaYesufu Go and Join Natasha Akpoti and Trouble those old men behaving like children for us. 
Akpabio will not like this 🤣",Mylo,,Sun May 10 07:01:45 +0000 2026,2,0,X_Apify
X_General,Just imagine what the senate will look like with this Amazon in it. I'm pretty sure that Akpabio will not dare do a Natasha Akpoti on her. Their skeleton cupboards will be exposed for all to see. She will bring a more vibrant energy and sophistry to her work unlike Ireti Kinkigbe https://t.co/QluRd9952l,St. Anthony💙,United Kingdom,Thu May 07 09:21:09 +0000 2026,0,0,X_Apify
X_General,@SaharaReporters Natasha Akpoti walking back to the National Assembly as a Second term Senator https://t.co/hutxc6nOx0,Dat_Irregular_EdoGuy,In my world  ,Mon May 11 23:15:11 +0000 2026,0,0,X_Apify
X_General,"Yesterday in Okene, Kogi Central the Ebira people turned out in large numbers to show support for Yahaya Bello’s senatorial ambition against Natasha Akpoti-Uduaghan. https://t.co/a3M5J5jQbJ",The Confluence State In Focus,,Fri May 08 07:36:29 +0000 2026,4,0,X_Apify
X_General,"The best picture on the internet today ❤️

The Uduaghans.. Royalty Meets Beauty

Yes.. Kogi Central, let us do it again for Senator Natasha Akpoti-Uduaghan. https://t.co/zqslCteyfe",PDP Republic,,Mon May 11 13:01:10 +0000 2026,61,0,X_Apify
X_General,@egi_nupe Where is Smart Adeyemi? Where is Natasha Akpoti? Y'all don't ever learn. Activism and Legislation are absolutely different things; worse off in a spoil system like Nigeria's.,JonathanBuhariTinubu,,Mon May 11 06:31:51 +0000 2026,0,0,X_Apify
X_General,@Uno_009 Wetin that Natasha Akpoti go do now?  She might join NDC soon,ObiDemocrat,Neptune ,Fri May 08 15:37:12 +0000 2026,3,0,X_Apify
X_General,I hope Senate President Godswill Akpabio will give Adams Oshiomhole the same treatment he gave Senator Natasha Akpoti.,Omo Kogi (Yagba) 🌍,Yagba,Wed May 06 13:56:42 +0000 2026,13,0,X_Apify
X_General,"Senator Natasha Akpoti-Uduaghan has submitted her PDP senatorial nomination forms at the party's National Secretariat, Wadata Plaza, Abuja.

I hope she understands what she is doing, no emotional sentiment tomorrow oooo.

We don move on already ... https://t.co/BY2eT3xZoj",Princewill,Nigeria,Tue May 12 04:59:49 +0000 2026,11,0,X_Apify
X_General,@AishaYesufu Aisha Yesufu is a good candidate to represent FCT and Nigerians in the Senate. Imagine having her alongside Natasha Akpoti and many other patriotic Nigerians on the senate floor. Nigerians will be rest assured  of good representation from them.,Toochukwu Asiegbu,,Sat May 09 15:11:03 +0000 2026,0,0,X_Apify
X_General,"Like Seriously??? See who's even talking, Senator Natasha Akpoti Uduaghan has even done Better politically than you, you can't even Walk in her path in politics as we speak. 

Above all..... @_dinomelaye Sir, please what were you achievements in Kogi while you were a Senator?",GeneralIbeabuchi,"Blue Earth, MN",Wed May 06 07:30:54 +0000 2026,0,0,X_Apify
X_General,"Natasha files PDP nomination form for Kogi Central Senate race

Senator Natasha Akpoti-Uduaghan has officially submitted her PDP senatorial nomination form, confirming her intention to seek re-election for the Kogi Central seat in the 2027 elections. The move signals her preparedness for the upcoming political contest.",Metro Times Nigeria,"1155 wonderpark estate, SA ",Mon May 11 19:00:55 +0000 2026,3,0,X_Apify
X_General,"Natasha submits nomination form

Senator Natasha Akpoti-Uduaghan has submitted her PDP nomination form for the 2027 Kogi Central senatorial re-election. This move signifies her intention to run for the senatorial seat again. She is ready to participate in the upcoming elections",SupremeGate,"Lagos, Nigeria",Mon May 11 19:07:07 +0000 2026,0,0,X_Apify
X_General,"@RealQueenBee__ @RealQueenBee___ What Oshiomole is doing, is it different from what Natasha Akpoti did that led to her six months suspension?",Kendo,,Wed May 06 14:46:37 +0000 2026,21,0,X_Apify
X_General,"Aisha Yesufu is now a politician 😂

You didn’t even start from your local government, na Senate your eyes dey, just like Natasha Akpoti-Uduaghan. 

Time will tell. 

Ire o.",Gbotemi,,Wed May 06 16:14:16 +0000 2026,7,0,X_Apify
X_General,"@ceicuck420 @VictoriaReyXOXO Aww thank you baby, you always have a special place in my poke-heart 🥰",Natasha Nastyy ♠️ BBC Slut 📸 Booking now!,Doing Something Naughty 😈,Wed May 13 12:58:08 +0000 2026,1,0,X_Apify
X_General,"Senator Natasha Akpoti has emerged as the most searched Nigerian in Google’s 2025 Year in Search report.
She topped a list driven by major political events, cultural moments and national conversations.",Akinade Olalekan omofolahan,"Lagos, Nigeria",Sun May 10 19:24:32 +0000 2026,0,0,X_Apify
X_General,"Senator Natasha Akpoti-Uduaghan submits PDP senatorial nomination forms for Kogi Central, pledging renewed focus on youth, women, and community development.
https://t.co/1OxCHFVbr1",The Guardian Nigeria,Nigeria,Tue May 12 10:10:00 +0000 2026,3,0,X_Apify
X_General,"@Zarajfoxx Yes please, Mistress...

Name the time and place, I will be there waiting on my hands and knees to be feminized by you. @Zarajfoxx",Natasha Nastyy ♠️ BBC Slut 📸 Booking now!,Doing Something Naughty 😈,Mon May 11 20:50:36 +0000 2026,5,0,X_Apify
X_General,"Breaking News: Senator Bukola Saraki dumps Wike, set to join Accord Party while Samuel Anyanwu still selling fake forms at the Wadata Plaza. 

Sister Natasha Akpoti have also offered Yahaya Bello the senatorial seat on a Plata of Gold. 

2027 is getting more interesting 🤣🤣🤣. https://t.co/jTfGxzmmj5",winsome,"Los Angeles, CA",Mon May 11 19:05:39 +0000 2026,0,0,X_Apify
X_General,Feminists on Facebook are upset with Natasha Akpoti for seeking her husband's permission to run for elections 😂,Ada eze. Baby,Nigeria,Wed May 06 10:36:01 +0000 2026,1,0,X_Apify
X_General,"@n6oflife6 @AishaYesufu it’s not about throwing sandals in the Senate. It’s about having the courage to question bad loans, demand accountability, and withstand the pressure that comes with it…..
Citing what happened to natasha akpoti when she challenged entrenched interest.","PROGRΞSS✨|| M.Sc, MNIQS, RQS, MNSE.",In my 🪺🍀,Wed May 06 17:40:07 +0000 2026,0,0,X_Apify
X_General,"Kogi Central Open Space Internet Project Update 🚀

In keeping with our promise, the Natasha Akpoti Uduaghan Foundation will commence the installation of digital infrastructure in 3 Local Government Areas next week: Ajaokuta, Okene and Okehi (first phase). 

These projects will provide:

• Outdoor Omnidirectional Access Points
• 500 Metre Radius Coverage (1km Diameter)
• 512 Concurrent Device Connections
• Up to 5.95 Gbps Throughput
• FREE Internet Access — 24 Hours, 7 Days a Week (Yearly subscription). 

Across Europe, the Middle East, the Americas and other regions of the world, free public WiFi access has become an essential tool for learning, business, communication and innovation.

We are humbled to drive this forward-thinking technology initiative in Nigeria thereby opening digital opportunities for our people and bridging connectivity gaps across Kogi Central.

The future is digital… and Kogi Central must not be left behind. 🖥️ 

Protect the equipments as they’ll serve everyone 

Senator Natasha H Akpoti Uduaghan 
Digitally Kogi Central 🇳🇬",CONCERNS CITIZENS🇳🇬🇳🇬🇱🇷🇬🇧🇨🇦🇨🇦🇳🇴,Earth,Fri May 08 20:34:41 +0000 2026,0,0,X_Apify
X_General,"@CrownprinceCom2 This is 419 nah. Where's Efcc chairman - please intervene and bring the perpetrators to book immediately.
Please, if you're close to the women send them to Aisha Yesufu am sure she will help them get home or Natasha Akpoti -Uduaghan",Richard Iheanacho,,Sat May 09 16:38:38 +0000 2026,1,0,X_Apify
X_General,@MrBanksOmisore Hope Natasha Akpoti has decamped to NDC. Let her better leave the PDP oh. She must cross over to NDC to have a fighting chance to be able to defeat Yahaya Bello.,Code825,Tonga,Wed May 06 20:55:27 +0000 2026,7,0,X_Apify
X_General,"Senator Natasha H. Akpoti just gave former Gov. Yahaya Bello the senatorial seat on a plater of gold. 

She was too hasty to have decided to join Nyesom Wike's PDP. 

She was calling Wike a national leader while he was buying APC forms for his loyalist in Rivers.",Anderson Uzoma Ikechukwu,Earth,Sat May 09 20:52:25 +0000 2026,0,0,X_Apify
X_General,"@Exploreeeeeeee @instablog9ja Dey play. Have you heard Senator Natasha Akpoti before? 
Which party is she supporting? 
Which party is ruling in her State ?
Apart from rigging elections which other ways APC has to offer",Lord,,Wed May 06 04:14:07 +0000 2026,0,0,X_Apify
X_General,"@SaharaReporters What will Natasha akpoti do with her PDP form? The most confused politician is Natasha, imagine sticking your neck for PDP when you could have joined NDC and become a flag bearer",uche,,Sun May 10 13:31:18 +0000 2026,0,0,X_Apify
X_General,"Senator Natasha  asked the world to pardon her as she expressed her profound gratitude to the people of Ebira for their full support. And for given her courage to stand tall
Senator Natasha H Akpoti Uduaghan 
#Kogi Central gifted to the world. 🌍 #NDC https://t.co/o4a0hTF36a",Nigeria Democratic Congress,Nigeria ,Sat May 09 18:54:49 +0000 2026,0,0,X_Apify
X_General,@Morris_Monye That means Natasha Akpoti backed the wrong horse. I hope she defects to the NDC. ✌️,Totti,EMEA region ,Fri May 08 14:22:58 +0000 2026,43,0,X_Apify
X_General,"Senator Natasha H. Akpoti just gave former Gov. Yahaya Bello the senatorial seat on a plater of gold. 

She was too hasty to have decided to join Nyesom Wike's PDP. 

She was calling Wike a national leader while he was buying APC forms for his loyalist in Rivers but selling her a fake form to her.

ADC or NDC would have been a better option for her. 

An end of an era.",Jahmal of Port Harcourt 🦍,Bago Farm,Sat May 09 18:43:47 +0000 2026,1003,0,X_Apify
X_General,"@TheoAbuAgada Natasha Akpoti and my brother, Ifeanyi Odii of Ebonyi comes to mind. Their interest might have been quashed just for over believing in Wike.",Toochukwu of Divine Mercy.,,Mon May 11 08:22:56 +0000 2026,1,0,X_Apify
X_General,"@channelstv They all joined hands to deal with Natasha Akpoti. Today, the monster they supported has turned around to devour them",Omeokachie,,Wed May 06 19:47:58 +0000 2026,0,0,X_Apify
X_General,"So yesterday, Adams Oshiomhole flared up at the floor of the Senate in a manner that would have attracted the kind of Natasha Akpoti treatment if he was not someone with an old political profile and deep political roots.

The debate became heated because Godswill Akpabio decided to behave like Machiavelli, amending the Senate rules in a way that would ensure that he and a few of his ring gangs remain the only ones eligible for principal elective positions in the next 11th Assembly.

 Akpabio-led Senate amended the 2023 Senate Standing Rules to favour only senators with at least two consecutive terms, eight uninterrupted years in the immediate preceding Assembly, making them eligible to contest for presiding positions such as Senate President, Deputy Senate President and other principal offices.

To Oshiomhole, it was not just undemocratic. It was autocratic at the same time. That was where the rage came from.

But my real problem in all of this is the seriousness, energy and aggression that Oshiomhole and many others in the Senate suddenly display anytime a debate concerns their welfare, positions or personal political interests.

Today, despite the biting national food crisis confronting millions of Nigerians, bills in that sector account for only 7.3% of the Senate’s total legislative output.

With the frightening level of insecurity across Nigeria, security-related bills make up just 5.4% of the Senate’s agenda.

Critical initiatives like the National Ranches Commission Establishment Bill 2024 have continued to suffer delays, controversies and endless political drama instead of constructive resolution.

Even the Electoral Act Amendment Bill 2026 faced intense public backlash.

But in all these debates, you would almost think people like Oshiomhole had lost their voices completely. The passion disappears. The fire goes cold. The urgency vanishes.

Yet, bring a topic that touches their interests, positions, welfare or political future, and they will almost pull down the walls of the Senate trying to protect it.

At that moment, you will understand that for many of them, it was never really about the people. It has always been about the elite protecting the elite.

I am Ekene Aninze Esq.",E.P Aninze Esq.,,Thu May 07 08:49:44 +0000 2026,10,0,X_Apify
X_General,"See how calm the Senate President is all through the unruly behaviour. He allowed the man finish before eventually summoning the courage to call him to order in the end.

If Sen. Natasha Akpoti or Sen. Ireti Kingibe did half of what former governor Oshiomole did here, Akpabio would have given the instruction to manhandle her & meted out capital punishment/sanction to her on the spot. Without any last warning.

A sexist executive.",Simply Pompey,Earth,Wed May 06 14:52:26 +0000 2026,5,0,X_Apify
X_General,"@Uptownoflagos A tree can't make a forest, Natasha Akpoti is feeling the heat, notwithstanding it's a welcome development, other Nigerians without a connection to the centre will be encouraged to try.",Bailer,Nigeria,Thu May 07 12:27:39 +0000 2026,1,0,X_Apify
X_General,@Advsola Wike has ran Aunty Natasha Akpoti street😂😂.. He was busy selling to her a fake PDP ticket  meanwhile he told OK Chinda to decamp to APC and contest for Rivers Gov.. Ndi mmadu seff🤣🤣,Larry Yucee,"Lagos, Nigeria.",Sat May 09 19:54:29 +0000 2026,0,0,X_Apify
Al_Jazeera,"@ProfMgbeke If not for the peg by prof. Mgbeke! Natasha Kasongo Akpoti would have gone to CNN, Aljazeera, Holy Seas, heaven and earth to rubbish Nigeria name in the chase for traction over false sexual harassment claims. Now she is on the defensive.",Illuminatarian Bukola,Alpine valley ,Tue May 20 07:41:22 +0000 2025,3,0,X_Apify
